EAN,Price,ASIN,Sales Rank,Net Profit,Net Margin
'4062218335547,55.99,B09JSYFMTQ,"#715.419, (Fashion)",-23.52 ,"-53,98 %"
'4046068588322,34.99,B095WCS3GT,"#133.558, (Fashion)",-12.87 ,"-42,91 %"
'4046068588179,33.99,B095WH3QX8,"#133.558, (Fashion)",-13.02 ,"-43,42 %"
'7318573826990,61.99,B0BZZD3Q25,-,-15.20 ,"-26,47 %"
'4062218529496,69.99,B0BLH6CT6B,"#415.368, (Fashion)",-16.52 ,"-23,60 %"
'8717009447607,73.99,B0B34H342D,-,6.09 ,"6,03 %"
'4046068576213,78.99,B089SXXD29,"#20.591, (Sport & Freizeit)",-18.01 ,"-22,52 %"
'8717565627147,55.99,B08XM18LQJ,"#2.562.284, (Fashion)",-16.40 ,"-31,54 %"
'8015190213613,18.99,B002EVPETK,"#170.947, (Sport & Freizeit)",-10.10 ,"-53,14 %"
'0887202340444,41.99,B08XLZ6CFC,-,-7.09 ,"-14,96 %"
'0194905568090,73.99,B08THCMWBD,"#424.830, (Fashion)",-4.39 ,"-4,72 %"
'4064625012196,35.99,B08YWYMDS1,-,5.53 ,"9,79 %"
'7325549899315,63.99,B0BT23TM3V,"#185.651, (Fashion)",-22.55 ,"-43,98 %"
'6009554023217,49.99,B0B5LLPNSN,"#606.517, (Fashion)",-21.67 ,"-51,69 %"
'4063833648241,48.99,B0BSQPR6RS,"#355.612, (Fashion)",-13.31 ,"-27,80 %"
'4062218582255,25.99,B0BLHJTXYR,"#98.934, (Fashion)",-26.47 ,"-2.647,46 %"
'4062218590823,38.99,B0BLHJVRB6,"#366.466, (Fashion)",-11.01 ,"-28,25 %"
'4062218593398,36.99,B0BLNBWJK8,"#75.410, (Fashion)",-15.62 ,"-52,11 %"
'8050949571743,27.99,B09W9GPGT8,-,-7.85 ,"-27,09 %"
'8055528399756,67.99,B09TZY9N8C,"#5.149.251, (Fashion)",-11.99 ,"-17,13 %"
'8050949871836,58.99,B0BRVGYPCY,-,5.77 ,"6,93 %"
'4046068602035,86.99,B09VTDPDJ5,"#6.642, (Sport & Freizeit)",5.61 ,"4,38 %"
'0768686402661,95.99,B08L5JYMXQ,-,-10.50 ,"-9,68 %"
'5056286948944,69.99,B0BW54BF8V,"#2.243.325, (Fashion)",-1.86 ,"-2,19 %"
'7325549935280,44.99,B09FTGZMPP,"#436.023, (Fashion)",-10.94 ,"-24,34 %"
'0191972528866,53.99,B08W2DQQL5,-,8.12 ,"9,73 %"
'5400974013665,79.99,B09XSDYKRK,"#641.424, (Sport & Freizeit)",-19.10 ,"-23,51 %"
'8033637945903,41.99,B07GZJ2NPS,"#1.645.303, (Fashion)",-1.98 ,"-3,60 %"
'0768686243523,67.99,B07Y8WV5YK,"#3.500.436, (Fashion)",-62.63 ,"-6.263,35 %"
'0810002571855,85.99,B081GQ8SVR,-,-21.38 ,"-26,73 %"
'4017912156196,117.99,B09F3RY66M,"#175.989, (Fashion)",-103.84 ,"-10.383,68 %"
'6009554024719,69.99,B0B5LMXSBT,"#358.898, (Fashion)",-18.96 ,"-27,09 %"
'8055688824402,29.99,B07NSQMSZV,-,-0.30 ,"-0,69 %"
'3661465214899,39.99,B09XY13TLT,-,-2.44 ,"-4,82 %"
'0887202338380,34.99,B08XLYW8F9,"#2.353.678, (Fashion)",-6.05 ,"-14,87 %"
'0887202335693,78.99,B08XLTWZH8,"#321.991, (Fashion)",-2.72 ,"-2,91 %"
'0193517575717,84.99,B09MW3LJ6W,-,9.49 ,"7,91 %"
'9010583025865,69.99,B09G1YW4SR,"#3.376.173, (Fashion)",-0.30 ,"-0,33 %"
'0810002570278,64.99,B07K6L5BBB,-,-19.74 ,"-32,90 %"
'4050772295513,83.99,B09KC7HZM8,"#426.780, (Fashion)",-30.89 ,"-48,61 %"
'7325549943025,55.99,B09FTFRF9G,"#1.200.658, (Fashion)",-12.18 ,"-21,75 %"
'4063098156895,122.99,B0BZSMLKT8,-,-7.88 ,"-5,75 %"
'9008415968855,27.99,B08G8D7ZW9,"#1.300.275, (Fashion)",3.16 ,"7,16 %"
'0641300304179,97.99,B0BCTPS3DK,"#366.828, (Fashion)",-19.48 ,"-19,01 %"
'8055528344503,55.99,B09VGNG4XX,-,-5.50 ,"-8,66 %"
'4046068588445,71.99,B096FXTZ4B,"#63.081, (Fashion)",-23.18 ,"-38,12 %"
'6009554024658,79.99,B0B5LLG8Y9,"#358.898, (Fashion)",-6.65 ,"-6,65 %"
'9008415896066,28.99,B07VGHTQWY,-,-3.01 ,"-8,15 %"
'8015190275826,101.99,B09STYCFX9,"#392.189, (Sport & Freizeit)",-11.59 ,"-9,82 %"
'0193128245498,47.99,B0B12CPZXX,-,-42.68 ,"-4.267,97 %"
'0887202376726,46.99,B09V1ZWQWX,-,-2.02 ,"-3,36 %"
'7325549886438,59.99,B0BT23V1VV,-,-0.78 ,"-0,98 %"
'0768686159169,80.99,B07GTW2ZMH,-,-30.47 ,"-47,75 %"
'4046068588278,40.99,B095WC5B66,"#346.466, (Fashion)",-21.67 ,"-83,39 %"
'3661465056413,14.99,B01BNP53HU,-,8.11 ,"22,51 %"
'5034948147607,33.99,B08VD3ZR68,-,-2.36 ,"-5,26 %"
'9008415969005,33.99,B08G8HYSF3,"#2.074.189, (Fashion)",-5.74 ,"-14,36 %"
'9008415977833,38.99,B08G8B4CW4,"#4.185.271, (Fashion)",2.77 ,"4,87 %"
'8435409040807,45.99,B0779CRW5S,"#2.359.878, (Fashion)",-44.08 ,"-4.408,04 %"
'0841269189392,78.99,B09QXRKVXS,-,4.31 ,"3,94 %"
'0768686362927,83.99,B08HD2PM26,"#250.025, (Fashion)",-18.58 ,"-22,12 %"
'9010583113296,126.99,B0BNK7FWX4,"#1.379.726, (Fashion)",7.75 ,"4,56 %"
'4055149368760,63.99,B086DWTPMD,-,-38.99 ,"-137,69 %"
'0768686681820,203.99,B015T7KYGS,-,-96.70 ,"-82,82 %"
'0194691255990,77.99,B0B1BLTTRG,"#1.906.648, (Fashion)",-5.37 ,"-5,61 %"
