EAN,Price,ASIN,Sales Rank,Net Profit,Net Margin
'4550456089099,173.99,B0BN246R28,"#4.978, (Fashion)",-52.58 ,"-36,02 %"
'4017912109208,99.99,B000KDU3MW,"#205.019, (Fashion)",-20.91 ,"-21,12 %"
'5053744637402,13.99,B08NXN7F63,"#218.592, (Fashion)",-5.85 ,"-41,80 %"
'4066748825769,42.99,B0BH4XJBWQ,"#14.091, (Fashion)",-4.89 ,"-9,37 %"
'3468336749944,30.99,B09LR9RW6Z,"#134.649, (Fashion)",-29.25 ,"-2.925,04 %"
'8054216305383,16.99,B07QG31JKS,"#2.964.848, (Fashion)",-4.35 ,"-21,30 %"
'5059937278414,59.99,B0BKLB5C44,"#106.784, (Fashion)",-5.49 ,"-7,63 %"
'5059431450965,143.99,B0BLSFKMDH,-,-53.14 ,"-53,43 %"
'8054216590727,62.99,B09Z2X7KJK,-,-1.47 ,"-1,83 %"
'8054216590826,62.99,B09Z2YWLF4,-,-0.78 ,"-0,96 %"
'8020647923458,55.99,B08YX775BD,"#2.519.619, (Fashion)",7.20 ,"9,00 %"
'8054216494490,78.99,B0BYF1D1Y1,-,-16.98 ,"-21,35 %"
'8054216554910,47.99,B09Z73CVY7,-,-13.20 ,"-27,51 %"
'8054216561185,47.99,B09Z749M69,-,-12.82 ,"-27,40 %"
'7611366166755,31.99,B0BPMGCY1Z,"#169.222, (Fashion)",-14.11 ,"-55,88 %"
'5054167681638,32.99,B0BPYQM35Z,-,-4.50 ,"-10,20 %"
'4066748805594,150.0,B0BPF278N4,"#187.172, (Fashion)",-28.96 ,"-19,31 %"
'5059431475050,88.99,B09ZPTBF15,"#276.259, (Fashion)",-15.08 ,"-15,96 %"
'7318573870016,47.99,B0BZZDNGYM,-,-16.30 ,"-40,51 %"
'8054216494216,70.99,B08TCF1J18,"#2.665.731, (Fashion)",-6.51 ,"-7,66 %"
'8054216555252,78.99,B09YV5854F,-,-20.82 ,"-28,15 %"
'4066748642311,159.99,B0BPD6RP7X,"#123.167, (Fashion)",-34.71 ,"-22,56 %"
'5060521484913,40.99,B088LJJSH6,-,-12.85 ,"-32,12 %"
'5059937287294,24.99,B0BLKWFDN7,"#932.821, (Fashion)",-7.81 ,"-31,11 %"
'3468336642993,33.99,B098BC35V2,"#2.254.938, (Fashion)",1.52 ,"3,13 %"
'0036702631105,28.99,B01JUC1G56,"#4.984.996, (Fashion)",-5.37 ,"-16,27 %"
'4065418440653,22.99,B09HZDPP2L,"#26.053, (Fashion)",-4.03 ,"-13,12 %"
'3468336750322,31.99,B0BR87WF2S,"#5.595.144, (Fashion)",-8.68 ,"-22,86 %"
'3468336541487,14.99,B08VJG8GNW,"#589.026, (Fashion)",4.86 ,"16,21 %"
'3468336951699,11.99,B0BMGX13VX,"#2.279, (Fashion)",-6.99 ,"-58,28 %"
'5059937278797,59.99,B0BNNT42LB,"#262.148, (Fashion)",-32.19 ,"-101,05 %"
'5053744699035,32.99,B094DQZQGN,"#5.669.708, (Fashion)",-8.70 ,"-26,36 %"
'5057764760515,32.99,B083VF237J,"#1.453.870, (Fashion)",-18.54 ,"-102,97 %"
'3468336855287,38.99,B0C6KL793V,"#156.261, (Fashion)",0.33 ,"0,60 %"
'3468336871331,38.99,B0BMGZY57Q,"#370.367, (Fashion)",-0.45 ,"-0,87 %"
'9327868047444,23.99,B00W5P4XPQ,"#5.607.085, (Fashion)",2.57 ,"6,45 %"
'3468336553329,14.99,B08P5S62Q7,"#47.400, (Fashion)",-2.57 ,"-12,85 %"
'5059937278131,55.99,B0BKLDHGVS,"#249.220, (Fashion)",-14.71 ,"-27,80 %"
'3468335514055,18.99,B071XVZPWW,"#122.587, (Fashion)",1.56 ,"5,07 %"
'4066751283099,111.99,B0BVW7YW2G,-,-26.92 ,"-25,66 %"
'5054167700544,119.99,B09K3ZF92T,-,-1.65 ,"-1,08 %"
'4066748647057,95.99,B0BNN6BNJZ,"#258.700, (Fashion)",-3.74 ,"-3,12 %"
'0196040098234,31.99,B0BDG5QYW9,-,-11.40 ,"-34,55 %"
'8054216555306,78.99,B09YV67KB8,-,-17.37 ,"-21,99 %"
'8054216494452,78.99,B08TCDTJ5Y,"#1.350.011, (Fashion)",-7.35 ,"-7,86 %"
'4550456340169,60.99,B0B1Q57G1N,-,0.88 ,"1,13 %"
'5054167711236,123.99,B0BLSXDYZT,-,-17.81 ,"-13,32 %"
'5059431451313,79.99,B0C2PW5QYZ,"#507.040, (Fashion)",-15.15 ,"-18,94 %"
'5059431445107,44.99,B0BLSGGPY1,-,-5.77 ,"-10,88 %"
'7611366172176,35.99,B0BPML96J7,"#507.186, (Fashion)",-12.31 ,"-39,14 %"
'4066748813254,97.99,B0BPMKPK91,-,-5.32 ,"-4,40 %"
'7318573803427,39.99,B0BX4RLCKY,-,-14.41 ,"-41,67 %"
'5059431389449,151.99,B0B87V46ZG,"#397.468, (Fashion)",-66.90 ,"-66,93 %"
'0194917184196,79.99,B08RXX47Y7,-,-12.89 ,"-14,77 %"
'4066748643530,103.99,B0BXT8SKJ6,"#354.543, (Fashion)",-93.31 ,"-9.331,36 %"
'5054167694164,180.0,B09K83B3K5,"#4.571.613, (Fashion)",-52.34 ,"-34,48 %"
'4066752675688,51.99,B0BYKBVS2R,-,-14.51 ,"-27,40 %"
'7318573831321,127.99,B0C28XY989,-,-46.71 ,"-48,31 %"
'4066752565392,36.99,B0BYKH6M4G,"#759.470, (Fashion)",-13.95 ,"-39,30 %"
'8057963289784,153.99,B0C16HSSPP,"#2.992.455, (Fashion)",-6.44 ,"-3,41 %"
'4066752535678,36.99,B0C3D6SJDN,"#1.682.118, (Fashion)",-4.58 ,"-9,35 %"
'5059431458244,143.99,B0BW96DHRY,-,-29.66 ,"-20,94 %"
'9359082303303,17.99,B0BTHNY8SQ,-,3.91 ,"11,85 %"
'7611366166670,41.99,B0BPJS2SP6,"#184.385, (Fashion)",-10.69 ,"-25,47 %"
'5059937279114,51.99,B0BKLB722M,"#48.319, (Fashion)",-11.96 ,"-23,01 %"
'3468335995731,13.99,B07BJKPN74,"#670.202, (Fashion)",9.08 ,"25,11 %"
'5056305724702,222.99,B09ZVBN1Y1,"#822.800, (Sport & Freizeit)",-195.76 ,"-19.575,97 %"
'3468336882658,46.99,B0BMGY8ZCK,"#59.085, (Fashion)",-1.85 ,"-3,08 %"
'8720388206291,25.99,B09LHXP325,"#192.873, (Fashion)",-8.45 ,"-33,23 %"
'5039247622220,25.0,B000VZBXVO,"#45.737, (Fashion)",-24.82 ,"-2.481,79 %"
'0194151040944,359.99,B0C2H5WGR2,-,-64.23 ,"-17,89 %"
'3468336724729,16.99,B09LR9YCNH,"#601.395, (Fashion)",-17.49 ,"-1.749,23 %"
