SKU,Type,Size,Color,Options,Price Per Each,Category,Sub Category,Material,Title,Description,Images,Url
BS-PR8L,Wastebaskets & Liners,11 Qt,,{},7.67,Premier Collection ,,Stainless Steel,Steeltek® Premier 11 Qt. Wastebasket 6 Per Case Price Per Each,"Curve Contemporary Design
Easy Cleaning &
Long-Term Durability
Brushed Stainless Steel
Cleans Easily With A Damp Cloth And Warm Water
9-1/4"" W x 10-1/4"" H x
9-1/2"" L",['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/steeltek/bs-pr8l.jpg'],https://www.ahscompany.com/Steeltek®-Premier-11-Qt-Wastebasket-6-Per-Case-Price-Per-Each_p_18843.html
BS-PR9,Tissue Boxes,,,{},2.0,Premier Collection ,,Stainless Steel,Steeltek® Premier Boutique Tissue Box Cover 12 Per Case Price Per Each,"Curve Contemporary Design
Easy Cleaning &
Long-Term Durability
Brushed Stainless Steel
Cleans Easily With A Damp Cloth And Warm Water
5-1/4"" W x 5-1/2"" H x
5-1/4"" L",['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/steeltek/bs-pr9.jpg'],https://www.ahscompany.com/Steeltek®-Premier-Boutique-Tissue-Box-Cover-12-Per-Case-Price-Per-Each_p_7432.html
BS-PR1,Cotton Swab Containers,,,{},0.67,Premier Collection ,,Stainless Steel,Steeltek® Premier Cotton Container 24 Per Case Price Per Each,"Curve Contemporary Design
Easy Cleaning &
Long-Term Durability
Brushed Stainless Steel
Cleans Easily With A Damp Cloth And Warm Water
4"" Dia x 4-1/2"" H",['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/steeltek/bs-pr1.jpg'],https://www.ahscompany.com/Steeltek®-Premier-Cotton-Container-24-Per-Case-Price-Per-Each_p_7427.html
BS-PK3,Soap Dishes,,,{},0.12,Parker Collection,,Stainless Steel,Steeltek® Parker Soap Dish 48 Per Case Price Per Each,"Plastic
Hand Painted Finish
Look Of An Expensive Brushed Metal
Cleans Easily With A Damp Cloth And Warm Water
4.1"" L x 3.1"" W x 0.79"" H",['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/steeltek/bs-pk3.jpg'],https://www.ahscompany.com/Steeltek®-Parker-Soap-Dish-48-Per-Case-Price-Per-Each_p_24976.html
BS-PR3R,Soap Dishes,,,{},0.33,Premier Collection ,,Stainless Steel,Steeltek® Premier 1 Piece Design Soap Dish 24 Per Case Price Per Each,"Curve Contemporary Design
Easy Cleaning &
Long-Term Durability
Brushed Stainless Steel
Cleans Easily With A Damp Cloth And Warm Water
5-1/2"" W x  3/4"" H x 4-1/2"" L",['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/steeltek/bs-pr3.jpg'],https://www.ahscompany.com/Steeltek®-Premier-1-Piece-Design-Soap-Dish-24-Per-Case-Price-Per-Each_p_21042.html
BS-1092S,Tissue Boxes,,,{},2.5,Pewter Veil Collection,,Stainless Steel,Steeltek® Pewter Veil Rectangle Tissue Box Cover 12 Per Case Price Per Each,"Easily Coordinates With Any Style
Crafted Of A Combination Of Stainless Steel & Aluminum
Brushed Finish
Cleans Easily With A Damp Cloth And Warm Water
5-1/4"" W x 2-1/4"" H x 10"" L",['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/steeltek/bs-1092s.jpg'],https://www.ahscompany.com/Steeltek®-Pewter-Veil-Rectangle-Tissue-Box-Cover-12-Per-Case-Price-Per-Each_p_7357.html
BS-1009,Tissue Boxes,,,{},2.33,Pewter Veil Collection,,Stainless Steel,Steeltek® Pewter Veil Boutique Tissue Box Cover 12 Per Case Price Per Each,"Easily Coordinates With Any Style
Crafted Of A Combination Of Stainless Steel & Aluminum
Brushed Finish
Cleans Easily With A Damp Cloth And Warm Water
5-3/4"" W x 5-3/4"" H x 5-3/4"" L",['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/steeltek/bs-1009.jpg'],https://www.ahscompany.com/Steeltek®-Pewter-Veil-Boutique-Tissue-Box-Cover-12-Per-Case-Price-Per-Each_p_7355.html
BS-PRVT1,Amenity Trays,,,{},0.83,Premier Collection ,,Stainless Steel,Steeltek® Premier/ Pewter Veil Amenity Tray 24 Per Case Price Per Each,"Curve Contemporary Design
Easy Cleaning &
Long-Term Durability
Brushed Stainless Steel
Cleans Easily With A Damp Cloth And Warm Water
7"" W x 1/2"" H x 11"" L",['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/steeltek/bs-prvt1.jpg'],https://www.ahscompany.com/Steeltek®-Premier-Pewter-Veil-Amenity-Tray-24-Per-Case-Price-Per-Each_p_18844.html
BS-1001,Cotton Swab Containers,,,{},0.62,Pewter Veil Collection,,Stainless Steel,Steeltek® Pewter Veil Cotton Container 24 Per Case Price Per Each,"Easily Coordinates With Any Style
Crafted Of A Combination Of Stainless Steel & Aluminum
Brushed Finish
Cleans Easily With A Damp Cloth And Warm Water
4"" Dia x 4-3/4"" H",['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/steeltek/bs-1001.jpg'],https://www.ahscompany.com/Steeltek®-Pewter-Veil-Cotton-Container-24-Per-Case-Price-Per-Each_p_7348.html
BS-PK9,Tissue Boxes,,,{},0.62,Parker Collection,,Stainless Steel,Steeltek® Parker Boutique Tissue Box Cover 24 Per Case Price Per Each,"Plastic
Hand Painted Finish
Look Of An Expensive Brushed Metal
Cleans Easily With A Damp Cloth And Warm Water
5.1"" L x 5.1"" W x 5.75"" H",['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/steeltek/bs-pk9.jpg'],https://www.ahscompany.com/Steeltek®-Parker-Boutique-Tissue-Box-Cover-24-Per-Case-Price-Per-Each_p_24978.html
BS-PKVT,Amenity Trays,,,{},0.37,Parker Collection,,Stainless Steel,Steeltek® Parker Amenity Tray 24 Per Case Price Per Each,"Plastic
Hand Painted Finish
Look Of An Expensive Brushed Metal
Cleans Easily With A Damp Cloth And Warm Water
9.0"" L x 4.0"" W x 0.75"" H",['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/steeltek/bs-pkvt.jpg'],https://www.ahscompany.com/Steeltek®-Parker-Amenity-Tray-24-Per-Case-Price-Per-Each_p_24979.html
BS-SNO8,Wastebaskets & Liners,9 Qt,,{},10.5,Frost Collection,,Resin,Steeltek® Frost Collection 9 Qt. Double Wall Resin Curve Wastebasket 4 Per Case Price Per Each,"Made Of Matte Resin
Transparent Resin Gives Double Wall Look
Resin Material Is Heavy And Durable
Frost Color And Clean Lines
8"" L x 8"" W x 9.5"" H",['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/steeltek/frost-wastebasket10001.jpg'],https://www.ahscompany.com/Steeltek®-Frost-Collection-9-Qt-Double-Wall-Resin-Curve-Wastebasket-4-Per-Case-Price-Per-Each_p_30366.html
BS-SNO9,Tissue Boxes,,,{},3.62,Frost Collection,,Resin,Steeltek® Frost Collection Double Wall Resin Boutique Tissue Box Cover w/ Bottom 8 Per Case Price Per Each,"Made Of Matte Resin
Transparent Resin Gives Double Wall Look
Resin Material Is Heavy And Durable
Frost Color And Clean Lines
5.3"" L x 5.3"" W x 6"" H",['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/steeltek/frost-tissue-box-cover-steeltek111.jpg'],https://www.ahscompany.com/Steeltek®-Frost-Collection-Double-Wall-Resin-Boutique-Tissue-Box-Cover-w-Bottom-8-Per-Case-Price-Per-Each_p_30365.html
BS-SNOVT,Amenity Trays,,,{},0.58,Frost Collection,,Resin,Steeltek® Frost Collection Double Wall Resin Flat Amenity Tray 24 Per Case Price Per Each,"Made Of Matte Resin
Transparent Resin Gives Double Wall Look
Resin Material Is Heavy And Durable
Frost Color And Clean Lines
4.0"" L x 10"" W x 0.5"" H",['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/steeltek/frost-amenity-tray10001.jpg'],https://www.ahscompany.com/Steeltek®-Frost-Collection-Double-Wall-Resin-Flat-Amenity-Tray-24-Per-Case-Price-Per-Each_p_30364.html
BS-SNO3C,Soap Dishes,,,{},0.33,Basic Collection,,Resin,Steeltek® Frost Collection Double Wall Resin Curve Soap Dish 24 Per Case Price Per Each,"Made Of Matte Resin
Transparent Resin Gives Double Wall Look
Resin Material Is Heavy And Durable
Frost Color And Clean Lines
Cleans Easily With A Damp Cloth
4.0"" L x 4.0"" W x 0.5"" H",['https://www.ahscompany.com/cdn-cgi/image/quality%3D85/assets/images/steeltek/frost-soap-dish1001.jpg'],https://www.ahscompany.com/Steeltek®-Frost-Collection-Double-Wall-Resin-Curve-Soap-Dish-24-Per-Case-Price-Per-Each_p_30263.html
