Address,street number,Type,Rooms,Size (m2),Agency url,Agency name
Mittarinkatu,4,179 000 €,,46 ,https://www.solidhouse.fi/kohde/asunto/turku/turku/port_arthur/80308434,solidhouse
Madonnankatu,6,348 000 €,,148 ,https://www.solidhouse.fi/kohde/asunto/turku/turku/yli-maaria/80309116,solidhouse
Ulvilantie,11,539 000 €,,99 ,https://www.solidhouse.fi/kohde/asunto/helsinki/helsinki/munkkivuori/80307707,solidhouse
Korkeavuorenkatu,3,629 000 €,,66.5 ,https://www.solidhouse.fi/kohde/asunto/helsinki/helsinki/ullanlinna/80308542,solidhouse
Untamontie,3,199 000 €,,33.5 ,https://www.solidhouse.fi/kohde/asunto/helsinki/helsinki/kapyla___olympiakyla/80307393,solidhouse
Hämeentie,68,599 000 €,,97.5 ,https://www.solidhouse.fi/kohde/asunto/helsinki/helsinki/vallila/80306995,solidhouse
Valkontie,58,129 000 €,,329 ,https://www.solidhouse.fi/kohde/asunto/laitila/laitila/valko/80307740,solidhouse
Potiveräjäntie,14,99 500 €,,105.5 ,https://www.solidhouse.fi/kohde/asunto/laitila/laitila/valimetsa/80307615,solidhouse
Tieteenkatu,15,144 000 €,,29 ,https://www.solidhouse.fi/kohde/asunto/tampere/tampere/hervanta/80305521,solidhouse
Rauhankatu,27,219 000 €,,66 ,https://www.solidhouse.fi/kohde/asunto/turku/turku/portsa/80307029,solidhouse
Leppälinnunrinne,4,159 000 €,,34 ,https://www.solidhouse.fi/kohde/asunto/espoo/espoo/karakallio_leppasilta/80307051,solidhouse
Heteniityntie,1,139 000 €,,30 ,https://www.solidhouse.fi/kohde/asunto/helsinki/helsinki/vuosaari/80307698,solidhouse
Piispanportti,9,629 000 €,,97 ,"https://www.solidhouse.fi/kohde/asunto/espoo/espoo/olari,_piispanpuisto,_matinkyla/80308389",solidhouse
Hirsikatu,9,74 000 €,,77 ,https://www.solidhouse.fi/kohde/asunto/rauma/rauma/nummi/80307589,solidhouse
Otavankatu,15,135 000 €,,79 ,https://www.solidhouse.fi/kohde/asunto/pori/pori/malminpaa/80307965,solidhouse
Lohitie,8,359 000 €,,239 ,https://www.solidhouse.fi/kohde/asunto/kaarina/kaarina/piispanristi/80305015,solidhouse
Tammitie,18,889 000 €,,118 ,https://www.solidhouse.fi/kohde/asunto/helsinki/helsinki/munkkiniemi/80305028,solidhouse
Hiljainen Myynti,,276 000 €,,211.1 ,https://www.solidhouse.fi/kohde/asunto/salo/salo/sirkkula/80308074,solidhouse
Aarningonkatu,25,169 000 €,,114 ,https://www.solidhouse.fi/kohde/asunto/rauma/rauma/nummi/80306927,solidhouse
Mallaskatu,6,176 000 €,,45.5 ,https://www.solidhouse.fi/kohde/asunto/kaarina/kaarina/piispanristi/80306741,solidhouse
Soukantie,15,144 000 €,,39.5 ,https://www.solidhouse.fi/kohde/asunto/espoo/espoo/soukka/80308112,solidhouse
Hakkenpääntie,54,69 000 €,,87 ,https://www.solidhouse.fi/kohde/asunto/taivassalo/taivassalo/pappila/80297968,solidhouse
Makasiiniranta,20,165 000 €,,43.5 ,https://www.solidhouse.fi/kohde/asunto/pori/pori/karjaranta/80307993,solidhouse
Syvärinkuja,2,280 000 €,,79 ,https://www.solidhouse.fi/kohde/asunto/kuopio/kuopio/tahkovuori/80296429,solidhouse
,50,825 000 €,,222 ,https://www.solidhouse.fi/kohde/asunto/sipoo/sipoo/eriksnas/80308162,solidhouse
Lintulammenkatu,2,159 000 €,,35.5 ,https://www.solidhouse.fi/kohde/asunto/kerava/kerava/sampola/80307006,solidhouse
Tiistiläntie,6,288 000 €,,79 ,https://www.solidhouse.fi/kohde/asunto/espoo/espoo/matinkyla/80307730,solidhouse
Metsärannankatu,6,322 000 €,,341 ,"https://www.solidhouse.fi/kohde/asunto/salo/salo/aarnionpera,_karjaskyla/80295193",solidhouse
Agricolankatu,7,225 000 €,,33.6 ,https://www.solidhouse.fi/kohde/asunto/helsinki/helsinki/kallio/80307806,solidhouse
Sibeliuksenväylä,39,198 000 €,,98 ,https://www.solidhouse.fi/kohde/asunto/jarvenpaa/jarvenpaa/keskusta/80307466,solidhouse
Signalistinkatu,11,116 000 €,,80 ,https://www.solidhouse.fi/kohde/asunto/turku/turku/runosmaki/80307455,solidhouse
Konsulinkaari,7,285 000 €,,56 ,https://www.solidhouse.fi/kohde/asunto/kirkkonummi/masala/sundsberg/80295498,solidhouse
Ruhtinaankatu,8,67 000 €,,44 ,https://www.solidhouse.fi/kohde/asunto/pori/pori/itatulli/80304819,solidhouse
Pähkinäkuja,13,118 000 €,,98 ,https://www.solidhouse.fi/kohde/asunto/pori/pori/pietniemi/80306810,solidhouse
Saanatunturintie,1,181 000 €,,55 ,https://www.solidhouse.fi/kohde/asunto/helsinki/helsinki/mellunmaki/80304716,solidhouse
Murtomaantie,2,169 000 €,,61.5 ,https://www.solidhouse.fi/kohde/asunto/turku/turku/raunistula/80305367,solidhouse
Kuohukuja,5,224 000 €,,73 ,https://www.solidhouse.fi/kohde/asunto/vantaa/vantaa/myyrmaki/80307260,solidhouse
Neitsytpolku,9,559 000 €,,57 ,https://www.solidhouse.fi/kohde/asunto/helsinki/helsinki/ullanlinna/80307351,solidhouse
Koivukylän Puistotie,14,158 000 €,,73.5 ,https://www.solidhouse.fi/kohde/asunto/vantaa/vantaa/koivukyla/80303583,solidhouse
Saloviuksenpiha,2,243 000 €,,61 ,https://www.solidhouse.fi/kohde/asunto/kirkkonummi/kirkkonummi/keskusta/80307578,solidhouse
Käpypolku,1,318 000 €,,222 ,https://www.solidhouse.fi/kohde/asunto/kerava/kerava/savio/80292715,solidhouse
Minkinreitti,3,489 000 €,,131 ,https://www.solidhouse.fi/kohde/asunto/kangasala/kangasala/mantyveraja/80306815,solidhouse
Kanslerintie,3,129 000 €,,53 ,https://www.solidhouse.fi/kohde/asunto/turku/turku/patterihaka/80306152,solidhouse
Länsipuisto,27,169 000 €,,99 ,https://www.solidhouse.fi/kohde/asunto/pori/pori/keskusta/80306718,solidhouse
Uudenmaankatu,4-6,649 000 €,,70 ,https://www.solidhouse.fi/kohde/asunto/helsinki/helsinki/punavuori/80306291,solidhouse
Kristofferinkatu,6,570 000 €,,365 ,https://www.solidhouse.fi/kohde/asunto/naantali/naantali/maijamaki/80291710,solidhouse
