District Name,Serial No:,BLOCK NAME,VILLAGE NAME,SHG NAME,FORMATION DATE,TOTAL COUNT MEMBER
BEGUSARAI,321,Khudaband,Bariarpur,Phul,04-Dec-14,16
BEGUSARAI,322,Khudaband,Bariarpur,Beli,23-Jan-17,11
BEGUSARAI,323,Khudaband,Bariarpur,Sundari,07-Oct-14,15
BEGUSARAI,324,Khudaband,Bariarpur,Shivguru,04-Dec-14,16
BEGUSARAI,325,Khudaband,Bariarpur,Lakshmi,27-Sep-14,15
BEGUSARAI,326,Khudaband,Bariarpur,Shanti,29-Sep-14,13
BEGUSARAI,327,Khudaband,Bariarpur,Islam,21-Dec-16,11
BEGUSARAI,328,Khudaband,Bariarpur,Jyoti,22-Dec-14,13
BEGUSARAI,329,Khudaband,Bariarpur,Shivam,20-Dec-14,13
BEGUSARAI,330,Khudaband,Bariarpur,Sakhi,03-Oct-14,12
BEGUSARAI,331,Khudaband,Bariarpur,Ohm,29-Jan-15,12
BEGUSARAI,332,Khudaband,Bariarpur,Radha,23-Jan-15,12
BEGUSARAI,333,Khudaband,Bariarpur,Ram,16-Jan-15,10
BEGUSARAI,334,Khudaband,Bariarpur,Mahaveer,11-Feb-15,10
BEGUSARAI,335,Khudaband,Bariarpur,Prabhu,29-Dec-14,10
BEGUSARAI,336,Khudaband,Bariarpur,Basanti,01-Mar-15,13
BEGUSARAI,337,Khudaband,Bariarpur,Anku1912201,19-Dec-16,12
BEGUSARAI,338,Khudaband,Bariarpur,Parvati,25-Feb-15,10
BEGUSARAI,339,Khudaband,Bariarpur,Sonam,23-Feb-15,13
BEGUSARAI,340,Khudaband,Bariarpur,Aaysha,25-Dec-16,12
BEGUSARAI,341,Khudaband,Bariarpur,Samta,20-Feb-15,11
BEGUSARAI,342,Khudaband,Bariarpur,Ganga,06-Aug-14,12
BEGUSARAI,343,Khudaband,Bariarpur,Anjana161220,16-Dec-16,10
BEGUSARAI,344,Khudaband,Bariarpur,Savitri,25-Dec-14,14
BEGUSARAI,345,Khudaband,Bariarpur,Durga,09-Feb-15,14
BEGUSARAI,346,Khudaband,Narayanpur,Khushbu,23-Jul-18,10
BEGUSARAI,347,Khudaband,Bariarpur,Bhagvati,28-Mar-15,14
BEGUSARAI,348,Khudaband,Bariarpur,Shankar,23-Jun-15,11
BEGUSARAI,349,Khudaband,Bariarpur,Komal,03-Aug-15,11
BEGUSARAI,350,Khudaband,Bariarpur,Gudiya,05-Apr-15,11
BEGUSARAI,351,Khudaband,Bariarpur,Lavali,04-Aug-15,10
BEGUSARAI,352,Khudaband,Bariarpur,Sona,24-Jul-15,12
BEGUSARAI,353,Khudaband,Bariarpur,Sapna,28-Jul-15,11
BEGUSARAI,354,Khudaband,Bariarpur,Chaman,12-Oct-15,12
