Searched Term,Searched Location,Name,Title,Location,Profile URL,Company Name,Company Website
creative director,New York,Alexei Beltrone,Associate Creative Director,"New York, United States",https://www.adforum.com/talent/81815215-alexei-beltrone,Pereira O'Dell,
creative director,New York,Mark Fortner,"Executive Creative Director, Blippar","New York, United States",https://www.adforum.com/talent/81815145-mark-fortner,,
creative director,New York,Lois Sandberg,Creative Director,"New York, United States",https://www.adforum.com/talent/35864-lois-sandberg,Posnick & Kolker Advertising,
creative director,New York,James Cheung,Creative Director,"New York, United States",https://www.adforum.com/talent/66365-james-cheung,,
creative director,New York,Mark Catalina,Creative Director,"New York, United States",https://www.adforum.com/talent/70695-mark-catalina,Grey New York,
creative director,New York,Dan Long,Creative Director,"New York, United States",https://www.adforum.com/talent/35845-dan-long,Grey New York,
creative director,New York,Ross Fletcher,Creative Director,"New York, United States",https://www.adforum.com/talent/81821695-ross-fletcher,Fig,
creative director,New York,Fred Richards,Worldwide Creative Director,"New York, United States",https://www.adforum.com/talent/81811179-fred-richards,Brand Union,
creative director,New York,Jordan Buntain,Creative Director,"New York, United States",https://www.adforum.com/talent/81815390-jordan-buntain,Grey New York,
creative director,New York,Lisa Rettig-Falcone,Executive Creative Director,"New York, United States",https://www.adforum.com/talent/81808044-lisa-rettig-falcone,Havas New York,http://nyc.havas.com/havas-new-york/
creative director,New York,Patrick O'Neill,Executive Creative Director,"New York, United States",https://www.adforum.com/talent/39750-patrick-oneill,72andSunny,
creative director,New York,Andrew DeMatos,Creative Director,"New York, United States",https://www.adforum.com/talent/81853928-andrew-dematos,Droga5,
creative director,New York,Jim Thompson,Creative Director,"New York, United States",https://www.adforum.com/talent/3597-jim-thompson,Ogilvy Worldwide,http://www.ogilvy.com
creative director,New York,Nathan Lennon,Creative Director,"New York, United States",https://www.adforum.com/talent/81811379-nathan-lennon,Droga5,
creative director,New York,John Campbell,"Creative Director, Digital","New York, United States",https://www.adforum.com/talent/40771-john-campbell,,
creative director,New York,Mike Hahn,Executive Creative Director,"New York, United States",https://www.adforum.com/talent/81808424-mike-hahn,Ogilvy Paris,http://www.ogilvyparis.fr
creative director,New York,Ann Hayden,Executive Creative Director,"New York, United States",https://www.adforum.com/talent/39976-ann-hayden,Y&R New York,
creative director,New York,Todd Feitlin,Creative Director,"New York, United States",https://www.adforum.com/talent/81854104-todd-feitlin,Mekanism,http://mekanism.com
creative director,New York,Marissa Kraft,Creative Director,"New York, United States",https://www.adforum.com/talent/81849585-marissa-kraft,FCB Health,
creative director,New York,Jenna Capobianco,Creative Director,"New York, United States",https://www.adforum.com/talent/81847089-jenna-capobianco,DERBY,
creative director,New York,David Fredette,Creative Director,"New York, United States",https://www.adforum.com/talent/81809949-david-fredette,RPA,
