SKU,EAN,,,,,,,,,,,,,,,,,,,,,
2608900094,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900096,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900097,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900098,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900099,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900100,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900102,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900103,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900104,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900108,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900109,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900110,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900111,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900113,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900114,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900115,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900119,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900120,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900121,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900122,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900124,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900125,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900126,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900127,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900128,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900130,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900131,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900132,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900133,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900134,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900135,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900138,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900139,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900142,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900143,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900146,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900147,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900150,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900151,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900154,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900155,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900157,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900158,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900159,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900160,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900161,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900162,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900163,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900165,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900166,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900167,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900168,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900169,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900170,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900171,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900172,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900173,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900174,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900175,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900177,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900191,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900192,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900193,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608900194,4.06E+17,,,,,,,,,,,,,,,,,,,,,
2608836604,6.95E+17,,,,,,,,,,,,,,,,,,,,,
2608836605,6.95E+17,,,,,,,,,,,,,,,,,,,,,
2608833771,6.95E+17,,,,,,,,,,,,,,,,,,,,,
2608833772,6.95E+17,,,,,,,,,,,,,,,,,,,,,
2608833773,6.95E+17,,,,,,,,,,,,,,,,,,,,,
2608833774,6.95E+17,,,,,,,,,,,,,,,,,,,,,
2608833775,6.95E+17,,,,,,,,,,,,,,,,,,,,,
2608833776,6.95E+17,,,,,,,,,,,,,,,,,,,,,
2608836607,6.95E+17,,,,,,,,,,,,,,,,,,,,,
2608836611,6.95E+17,,,,,,,,,,,,,,,,,,,,,
2608833777,6.95E+17,,,,,,,,,,,,,,,,,,,,,
2608833778,6.95E+17,,,,,,,,,,,,,,,,,,,,,
2608833779,6.95E+17,,,,,,,,,,,,,,,,,,,,,
2608833780,6.95E+17,,,,,,,,,,,,,,,,,,,,,
2608836612,6.95E+17,,,,,,,,,,,,,,,,,,,,,
2608836613,6.95E+17,,,,,,,,,,,,,,,,,,,,,
2608833781,6.95E+17,,,,,,,,,,,,,,,,,,,,,
2608833782,6.95E+17,,,,,,,,,,,,,,,,,,,,,
2608833783,6.95E+17,,,,,,,,,,,,,,,,,,,,,
2608833784,6.95E+17,,,,,,,,,,,,,,,,,,,,,
2608836614,6.95E+17,,,,,,,,,,,,,,,,,,,,,
2608833785,6.95E+17,,,,,,,,,,,,,,,,,,,,,
2608833786,6.95E+17,,,,,,,,,,,,,,,,,,,,,
