EAN,Price,ASIN,Sales Rank,Net Profit,Net Margin
'4710069705179,43.99,B09NC43M8L,"#447.845, (Sport & Freizeit)",-16.56 ,"-47,33 %"
'4250450726630,102.99,B095K9WF1G,"#26.480, (Sport & Freizeit)",-18.27 ,"-16,61 %"
'4250450724803,74.99,B08CRYSL92,"#4.536, (Sport & Freizeit)",-13.50 ,"-17,95 %"
'4250450716600,108.99,B073WD5F48,"#20.588, (Sport & Freizeit)",-24.23 ,"-22,29 %"
'4046051114965,109.99,B08HT4RM4V,"#96.119, (Sport & Freizeit)",-21.56 ,"-20,84 %"
'4028017544344,44.99,B08W54SFX5,"#24.895, (Elektronik & Foto)",-11.76 ,"-26,90 %"
'4028017544320,47.99,B08W5BW61H,-,-9.14 ,"-17,86 %"
'4028017544337,44.99,B08W5B7W5D,"#85.646, (Elektronik & Foto)",-8.94 ,"-18,71 %"
'3420586601199,39.99,B0BLWG4K49,-,-5.90 ,"-12,51 %"
'7350069254603,104.99,B09NLJVK3X,"#91.948, (Sport & Freizeit)",-9.05 ,"-7,21 %"
'4052285961992,67.99,B07WQ5TQ98,"#332.590, (Fashion)",-16.54 ,"-23,53 %"
'4046051149264,65.99,B0B21MWWC9,"#15.106, (Sport & Freizeit)",-19.74 ,"-34,67 %"
'4046051149202,86.99,B0B21QJR5N,"#88.040, (Sport & Freizeit)",-12.36 ,"-13,74 %"
'4062218499324,67.99,B0BHTGSBN1,"#51.335, (Sport & Freizeit)",-16.14 ,"-25,23 %"
'4062218498266,72.99,B0BHTDCNNQ,"#70.594, (Sport & Freizeit)",-19.64 ,"-30,22 %"
'4550170467951,41.99,B07KFS5Y4M,"#176.278, (Sport & Freizeit)",-39.87 ,"-3.986,70 %"
'4550170467944,67.99,B07K5BNKJT,"#423.489, (Sport & Freizeit)",-9.52 ,"-12,70 %"
'4550170467937,29.99,B07MW168QW,"#49.345, (Sport & Freizeit)",-4.79 ,"-13,70 %"
'4524667580928,29.99,B009T3I7RC,"#134.657, (Sport & Freizeit)",-10.71 ,"-39,68 %"
'4524667382621,31.99,B004Q83YXM,"#54.416, (Sport & Freizeit)",-7.86 ,"-23,83 %"
'720018999515,128.99,B001KQ5ZRG,"#37.112, (Auto & Motorrad)",-47.35 ,"-47,35 %"
'720018999539,119.99,B001SMSUNI,"#31.207, (Sport & Freizeit)",-29.22 ,"-28,24 %"
'641300164001,18.99,B08BTTKLM5,"#154.097, (Sport & Freizeit)",-4.53 ,"-20,59 %"
'641300163998,18.99,B08BTS85JM,"#312.978, (Sport & Freizeit)",-4.53 ,"-20,61 %"
'768686678004,13.99,B014E2HQTW,"#517.467, (Sport & Freizeit)",-7.74 ,"-68,82 %"
'4710582542312,25.99,B087VYDSGT,"#280.300, (Sport & Freizeit)",-24.53 ,"-2.452,60 %"
'4028017544450,44.99,B099KGXL1V,"#24.895, (Elektronik & Foto)",-7.36 ,"-14,69 %"
'4028017544467,44.99,B099KTZJSS,"#24.895, (Elektronik & Foto)",-6.86 ,"-13,49 %"
'641300162847,126.99,B07G8LCVL1,"#7.397, (Sport & Freizeit)",-16.07 ,"-11,63 %"
'641300166357,114.99,B08NX5NN5G,"#392.108, (Sport & Freizeit)",-6.05 ,"-4,38 %"
'641300162830,127.99,B07G8N359Y,"#7.397, (Sport & Freizeit)",-16.93 ,"-12,26 %"
'641300159816,119.99,B016OQVYTY,"#319.020, (Sport & Freizeit)",-105.03 ,"-10.503,07 %"
'641300167477,133.99,B0B4FCG98C,-,-16.28 ,"-11,12 %"
'641300167248,119.99,B0BQNR5SSW,"#736.673, (Sport & Freizeit)",9.18 ,"5,55 %"
'641300167460,119.99,B0B4FFS8LX,"#218.553, (Sport & Freizeit)",-1.64 ,"-1,09 %"
