EAN,Price,ASIN,Sales Rank,Net Profit,Net Margin
'5715350171182,39.99,B0BYPGSHZK,-,28.82 ,"32,05 %"
'0768686445514,61.99,B09YMYT27H,"#5.592.684, (Fashion)",11.30 ,"11,44 %"
'8015190269382,52.99,B09GG589VY,-,13.54 ,"14,14 %"
'9010583103914,71.99,B0BNK8FX3D,-,19.44 ,"16,20 %"
'0768686261206,121.99,B0816PYNP7,-,85.58 ,"30,45 %"
'0847435028663,48.99,B08HNCLTNR,-,18.07 ,"18,54 %"
'0768686261695,123.99,B0816QTVMJ,-,10.15 ,"5,83 %"
'0841269165860,47.99,B0943G86VC,-,11.36 ,"13,99 %"
'9010583111162,79.99,B0BNK7GKRC,-,14.87 ,"11,44 %"
'0191972778889,89.99,B0BQPGH5NS,-,20.66 ,"14,54 %"
'0191972624094,65.99,B09889W2YZ,-,24.48 ,"20,10 %"
'0193517435660,64.99,B09VCYV1PB,-,13.54 ,"12,18 %"
'9010583094847,55.99,B0BNK8RMJB,-,12.18 ,"13,54 %"
'5056286945875,44.99,B0BZ579H8K,-,24.85 ,"27,19 %"
'5056286944342,26.99,B0BZ56TGG3,"#128.670, (Fashion)",10.20 ,"19,10 %"
'0887202299490,101.99,B084RLRM1X,"#5.092.239, (Fashion)",18.95 ,"12,92 %"
'0841269136396,51.99,B07P976WDV,-,43.28 ,"33,97 %"
'7630472689958,55.99,B0BGN9JV55,-,14.36 ,"14,37 %"
'6009554008566,109.99,B0B4S9ZW89,-,11.34 ,"7,13 %"
'0810086901050,108.99,B0B13S8BPB,-,13.84 ,"8,70 %"
'0768686460456,83.99,B09DLBC7ZQ,-,71.55 ,"32,82 %"
'0810002577826,76.99,B09YVWG8GP,"#1.363.642, (Fashion)",11.52 ,"9,68 %"
'0768686193620,79.99,B07K4FCP3T,-,19.80 ,"14,38 %"
'8015190268880,102.99,B0912VX5MH,"#759.076, (Sport & Freizeit)",20.63 ,"12,44 %"
'3661465209734,98.99,B0CD2J4KYY,-,46.35 ,"23,18 %"
'8057099238236,203.99,B0BLB6PCB4,-,26.98 ,"9,02 %"
'0768686445033,80.99,B09YMZTKFV,-,120.13 ,"42,58 %"
'0810014048161,36.99,B08TMWG12Y,"#732.769, (Sport & Freizeit)",14.04 ,"18,06 %"
'4046068603902,99.99,B09V7YZ964,"#495.332, (Auto & Motorrad)",49.70 ,"26,16 %"
'0810002578885,88.99,B09YVWCC55,"#526.049, (Fashion)",15.25 ,"10,97 %"
'0847435028601,60.99,B08HND33XZ,-,21.41 ,"18,46 %"
