Address,street number,Type,Rooms,Other,Size (m2),Agency url,Agency name
Potiveräjäntie,14,"99,500 €",,,105.5 ,https://www.solidhouse.fi/kohde/asunto/laitila/laitila/valimetsa/80307615,solidhouse
Tieteenkatu,15,"149,000 €",,,29 ,https://www.solidhouse.fi/kohde/asunto/tampere/tampere/hervanta/80305521,solidhouse
Rauhankatu,27,"228,000 €",,,66 ,https://www.solidhouse.fi/kohde/asunto/turku/turku/portsa/80307029,solidhouse
Leppälinnunrinne,4,"159,000 €",,,34 ,https://www.solidhouse.fi/kohde/asunto/espoo/espoo/karakallio_leppasilta/80307051,solidhouse
Heteniityntie,1,"139,000 €",,,30 ,https://www.solidhouse.fi/kohde/asunto/helsinki/helsinki/keski-vuosaari/80307698,solidhouse
Piispanportti,9,"629,000 €",,,97 ,"https://www.solidhouse.fi/kohde/asunto/espoo/espoo/olari,_piispanpuisto,_matinkyla/80308389",solidhouse
Hirsikatu,9,"79,000 €",,,77 ,https://www.solidhouse.fi/kohde/asunto/rauma/rauma/nummi/80307589,solidhouse
Otavankatu,15,"135,000 €",,,79 ,https://www.solidhouse.fi/kohde/asunto/pori/pori/malminpaa/80307965,solidhouse
Punavuorenkatu,1,"683,000 €",,,82 ,https://www.solidhouse.fi/kohde/asunto/helsinki/helsinki/punavuori/80307414,solidhouse
Lohitie,8,"359,000 €",,,239 ,https://www.solidhouse.fi/kohde/asunto/kaarina/kaarina/piispanristi/80305015,solidhouse
Tammitie,18,"889,000 €",,,118 ,https://www.solidhouse.fi/kohde/asunto/helsinki/helsinki/munkkiniemi/80305028,solidhouse
HILJAINEN MYYNTI,,"276,000 €",,,211.1 ,https://www.solidhouse.fi/kohde/asunto/salo/salo/sirkkula/80308074,solidhouse
Apilatie,4,"18,000 €",,,60 ,https://www.solidhouse.fi/kohde/asunto/eurajoki/eurajoki/lapijoki/80297224,solidhouse
Aarningonkatu,25,"169,000 €",,,114 ,https://www.solidhouse.fi/kohde/asunto/rauma/rauma/nummi/80306927,solidhouse
Mallaskatu,6,"176,000 €",,,45.5 ,https://www.solidhouse.fi/kohde/asunto/kaarina/kaarina/piispanristi/80306741,solidhouse
Soukantie,15,"148,000 €",,,39.5 ,https://www.solidhouse.fi/kohde/asunto/espoo/espoo/soukka/80308112,solidhouse
Hakkenpääntie,54,"69,000 €",,,87 ,https://www.solidhouse.fi/kohde/asunto/taivassalo/taivassalo/pappila/80297968,solidhouse
Makasiiniranta,20,"165,000 €",,,43.5 ,https://www.solidhouse.fi/kohde/asunto/pori/pori/karjaranta/80307993,solidhouse
Syvärinkuja,2,"280,000 €",,,79 ,https://www.solidhouse.fi/kohde/asunto/kuopio/kuopio/tahkovuori/80296429,solidhouse
,50,"825,000 €",,,222 ,https://www.solidhouse.fi/kohde/asunto/sipoo/sipoo/eriksnas/80308162,solidhouse
Lintulammenkatu,2,"159,000 €",,,35.5 ,https://www.solidhouse.fi/kohde/asunto/kerava/kerava/sampola/80307006,solidhouse
Tiistiläntie,6,"288,000 €",,,79 ,https://www.solidhouse.fi/kohde/asunto/espoo/espoo/matinkyla/80307730,solidhouse
Metsärannankatu,6,"349,000 €",,,341 ,"https://www.solidhouse.fi/kohde/asunto/salo/salo/aarnionpera,_karjaskyla/80295193",solidhouse
Koivukulmantie,4,"115,000 €",,,65 ,https://www.solidhouse.fi/kohde/asunto/salo/salo/hahkana/80307976,solidhouse
Rödhällintie,1,"284,000 €",,,262 ,https://www.solidhouse.fi/kohde/asunto/parainen/parainen/mattholm/80304121,solidhouse
Agricolankatu,7,"225,000 €",,,33.6 ,https://www.solidhouse.fi/kohde/asunto/helsinki/helsinki/kallio/80307806,solidhouse
Sibeliuksenväylä,39,"198,000 €",,,98 ,https://www.solidhouse.fi/kohde/asunto/jarvenpaa/jarvenpaa/keskusta/80307466,solidhouse
