Address,street number,Type,Rooms,Other,Size (m2),Agency url,Agency name
Hevosmiehenkuja,1,"309,000 €",,,72.5 ,https://rivehomes.com/fi/myytavat-asunnot/helsinki/hevosmiehenkuja-1-56b89ea5,rive
Laajalahdentie,17,"417,000 €",,,70 ,https://rivehomes.com/fi/myytavat-asunnot/helsinki/laajalahdentie-17-ab4beb88,rive
Kaarikuja,5,"156,000 €",,,54 ,https://rivehomes.com/fi/myytavat-asunnot/helsinki/kaarikuja-5-ca211cd3,rive
Solistintie,2,"269,000 €",,,94.5 ,https://rivehomes.com/fi/myytavat-asunnot/helsinki/solistintie-2-57727989,rive
Mechelininkatu,17,"592,000 €",,,81 ,https://rivehomes.com/fi/myytavat-asunnot/helsinki/mechelininkatu-17-de478ba0,rive
Uurtajantie,2,"379,000 €",,,88 ,https://rivehomes.com/fi/myytavat-asunnot/helsinki/uurtajantie-2-fdc0d97d,rive
Sunilanpolku,64,"510,000 €",,,108 ,https://rivehomes.com/fi/myytavat-asunnot/helsinki/sunilanpolku-6-b-4-1c5f564c,rive
Porvoonkatu,3,"169,000 €",,,26 ,https://rivehomes.com/fi/myytavat-asunnot/helsinki/porvoonkatu-3-3cb020f0,rive
Tollinpolku,1,"219,000 €",,,99.5 ,https://rivehomes.com/fi/myytavat-asunnot/helsinki/tollinpolku-1-e6f2926f,rive
Melkonkatu,17,"675,000 €",,,105 ,https://rivehomes.com/fi/myytavat-asunnot/helsinki/melkonkatu-17-0e42072b,rive
